name  x y
Nz  0.4963235 0.9105497
Fp1 0.3860288 0.8125080
Fpz 0.4963235 0.8223122
Fp2 0.6041672 0.8125080
AF7 0.2855381 0.7683892
AF5 0.3345580 0.7536830
AF3 0.3860288 0.7438788
AF1 0.4424017 0.7389767
AFz 0.4963235 0.736525
AF2 0.5526963 0.7389767
AF4 0.6066182 0.7438788
AF6 0.6605400 0.7512319
AF8 0.7046579 0.7659382
F9  0.1311256 0.7463298
F7  0.2022044 0.6899558
F5  0.2732832 0.6703475
F3  0.3468129 0.6605433
F1  0.4203427 0.6531902
Fz  0.4963235 0.6507391
F2  0.5698533 0.6507391
F4  0.6482851 0.6605433
F6  0.7218149 0.6703475
F8  0.7855407 0.6899558
F10 0.8590705 0.7463298
FT9 0.06249777  0.6213266
FT7 0.15073352  0.5894631
FC5 0.23406727  0.5772079
FC3 0.32230302  0.5698547
FC1 0.40808777  0.5649526
FCz 0.49632351  0.5649526
FC2 0.58455925  0.5649526
FC4 0.67034400  0.5698547
FC6 0.75612875  0.5772079
FT8 0.84191350  0.5894631
FT10  0.92769825  0.6213266
T9  0.04043884  0.4767151
T7  0.13112557  0.4767151
C5  0.22181231  0.4791661
C3  0.31495004  0.4791661
C1  0.40318578  0.4791661
Cz  0.49632351  0.4791661
C2  0.58701025  0.4767151
C4  0.68014798  0.4767151
C6  0.76838372  0.4791661
T8  0.85907045  0.4791661
T10 0.95220818  0.4791661
TP9 0.06249777  0.3345546
TP7 0.15073352  0.3639671
CP5 0.23406727  0.3811244
CP3 0.31985202  0.3884775
CP1 0.40808777  0.3909286
CPz 0.49632351  0.3909286
CP2 0.58455925  0.3909286
CP4 0.67279500  0.3860265
CP6 0.75612875  0.3786734
TP8 0.84191350  0.3664182
TP10  0.92769825  0.3321036
P9  0.1335766 0.2095514
P7  0.2022044 0.2659254
P5  0.2708322 0.2879848
P3  0.3419110 0.2977889
P1  0.4178917 0.3026910
Pz  0.4963235 0.3075931
P2  0.5723043 0.3051421
P4  0.6458341 0.2977889
P6  0.7193639 0.2855337
P8  0.7879917 0.2683764
P10 0.8590705 0.2095514
PO9 0.2365183 0.1115097
PO7 0.2855381 0.1899431
PO5 0.3345580 0.2021983
PO3 0.3835778 0.2120024
PO1 0.4399507 0.2144535
POz 0.4963235 0.2193556
PO2 0.5526963 0.2169045
PO4 0.6041672 0.2120024
PO6 0.6580890 0.2021983
PO8 0.7046579 0.1899431
PO10  0.7536778 0.1139607
O1  0.3860288 0.14337324
Oz  0.4963235 0.13111802
O2  0.6017162 0.14337324
I1  0.3639699 0.05758673
Iz  0.4963235 0.04288047
I2  0.6286771 0.06003777
